S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
225,2024-03-05,242.10,242.10,228.60,229.50,-3.33,"22,320.00","5,174,348.40"
226,2024-03-04,228.00,237.40,228.00,237.40,5.98,530.00,"121,182.00"
227,2024-03-03,230.00,230.00,223.00,224.00,-0.80,"14,194.00","3,184,330.90"
228,2024-02-29,227.00,228.00,225.10,225.80,-0.96,"16,986.00","3,847,648.70"
229,2024-02-28,231.00,231.00,226.20,228.00,0.44,"10,145.00","2,304,421.20"
230,2024-02-27,226.20,229.90,226.00,227.00,-0.44,"15,986.00","3,624,302.00"
231,2024-02-26,228.00,230.00,225.10,228.00,0.40,"14,222.00","3,226,207.80"
232,2024-02-25,230.00,230.00,227.10,227.10,-0.83,"22,617.00","5,165,066.50"
233,2024-02-22,230.00,232.00,228.90,229.00,-0.56,"15,542.00","3,566,557.90"
234,2024-02-21,233.00,234.40,229.30,230.30,0.13,"11,891.00","2,743,350.10"
235,2024-02-20,230.00,234.50,230.00,230.00,-0.26,"31,788.00","7,349,419.20"
236,2024-02-18,233.00,235.90,230.00,230.60,-2.58,"48,129.00","11,105,439.70"
237,2024-02-15,230.10,236.70,230.00,236.70,1.59,"42,526.00","9,956,723.20"
238,2024-02-14,232.00,235.00,230.10,233.00,0.73,"19,694.00","4,575,045.80"
239,2024-02-13,238.00,238.00,231.30,231.30,-2.82,"23,082.00","5,401,946.50"
240,2024-02-12,237.20,239.00,235.20,238.00,0.51,"17,401.00","4,122,720.10"
241,2024-02-11,240.00,240.00,233.60,236.80,-2.15,"42,535.00","10,079,327.60"
242,2024-02-08,239.00,242.00,239.00,242.00,0.41,"19,510.00","4,706,656.80"
243,2024-02-07,245.50,245.50,239.00,241.00,0.12,"22,381.00","5,380,378.90"
244,2024-02-06,244.90,244.90,240.00,240.70,-0.54,"12,116.00","2,916,847.40"
245,2024-02-05,240.00,242.50,239.00,242.00,0.62,"19,382.00","4,662,138.50"
246,2024-02-04,245.00,245.00,239.20,240.50,0.00,"21,433.00","5,149,031.60"
247,2024-02-01,242.00,242.50,240.10,240.50,-1.11,"18,935.00","4,566,695.20"
248,2024-01-31,245.00,247.40,243.20,243.20,-0.94,"16,597.00","4,046,904.80"
249,2024-01-30,249.50,249.50,244.50,245.50,-0.41,"17,528.00","4,295,121.00"
250,2024-01-29,249.50,249.50,245.10,246.50,0.61,"22,283.00","5,496,052.80"
